Topic,Top Words,Probabilities
Topic 1,"['bank', 'water', 'river', 'dollars', 'loan']","[0.3826086956521739, 0.3217391304347826, 0.2956521739130435, 0.0, 0.0]"
Topic 2,"['loan', 'bank', 'dollars', 'water', 'river']","[0.37117903930131, 0.32751091703056767, 0.30131004366812225, 0.0, 0.0]"
